Title,Bedrooms,Bathrooms,Floor_no,Occupancy_status,Floor_area,City,Price_in_taka,Location
1515 Square Feet Flat Is For Sale In Dhanmondi,3,3,3,vacant,1515,dhaka,"৳19,900,000","Road No 11A, Dhanmondi"
650 Sq Ft Apartment For Sale,2,2,4,vacant,650,dhaka,"৳3,500,000","Section 6, Mirpur"
This 1015 Sq.ft Home In Rajanigandha Residential Area Is Up For Sale In A Wonderful Neighborhood,2,2,5,vacant,1015,dhaka,"৳6,000,000","Section 15, Mirpur"
Grab This 1125 Sq Ft Flat Up For Sale In Dakshin Khan,3,2,7,vacant,1125,dhaka,"৳4,775,000","Faydabad, Dakshin Khan"
Have A Look At This 1900 Sq Ft Property Which Is Up For Sale Located At Bashundhara R-a,4,4,9,vacant,1900,dhaka,"৳19,000,000","Block D, Bashundhara R-A"
A Well-featured 1095 Sq Ft Residence Is Ready For Sale At Ashkona,3,2,6,vacant,1095,dhaka,"৳7,500,000","Ashkona, Dakshin Khan"
A Dazzling 1000 Sq Ft Residential Property Is Up For Sale Located At Ashkona,3,2,6,vacant,1000,dhaka,"৳7,000,000","Ashkona, Dakshin Khan"
"Situated In Dakshin Khan, 800 Sq Ft An Apartment Is Up For Sale Close To Haji Billet Ali School",2,2,5,vacant,800,dhaka,"৳4,000,000","Chalabon, Dakshin Khan"
"1616 Sq Ft Flat For Sale In Ecb Main Road, Manikdi",3,3,8,vacant,1616,dhaka,"৳7,272,000","Manikdi, Cantonment"
A Nicely Build 1140 Sq Ft Three Bed Apartment Is Available For Sale In Senpara Mirpur.,3,2,8,vacant,1140,dhaka,"৳6,200,000","Section 10, Mirpur"
A Beautiful Apartment For Sale Is All Set For You In Mirpur Nearby Senpara Jame Masjid.,3,3,6,vacant,1465,dhaka,"৳8,800,000","Section 10, Mirpur"
"Nice Flat Can Be Found In Mirpur For Sale , Near Mirpur Adarsha Biddyaniketon School",2,2,4,vacant,650,dhaka,"৳2,400,000","Section 6, Mirpur"
A Beautiful Apartment Is Up For sale At Uttara Near Atlantic Maritime Academy,3,5,5,vacant,2100,dhaka,"৳29,000,000","Sector 13, Uttara"
Visit This Flat For Sale In Mirpur Nearby Shaheed Abu Taleb High School,2,2,5,vacant,750,dhaka,"৳4,200,000","Section 10, Mirpur"
Visit This Apartment For Sale In Faydabad Near Hazrat Belal (Rah) Jame Masjid.,4,3,7,vacant,1160,dhaka,"৳4,408,000","Faydabad, Dakshin Khan"
A 2146 Sq. Ft Residential Building For Sale Is All Set For You To Settle In Dendabor.,8,4,,vacant,2146,dhaka,"৳10,500,000","Ashulia, Savar"
"Let Us Assist You To Buy This 900 Sq.Ft Flat At Sugandha Housing, Hemayetpur Summiting The Vision About Your Future Home.",3,2,9,vacant,900,dhaka,"৳2,900,000","Hemayetpur, Savar"
"1050 Sq Ft Flat For Sale In Radio Colony, Savar",2,2,6,vacant,1050,dhaka,"৳3,360,000","Radio Colony, Savar"
Find 1250 SQ FT flat available for sale in Bashundhara R-A,3,3,2,vacant,1250,dhaka,"৳11,500,000","Block C, Bashundhara R-A"
"Offering You An Excellent 1675 Sq Ft Flat For Sale In Shah Ali Bag, Mirpur",3,3,9,vacant,1675,dhaka,"৳9,712,500","Section 1, Mirpur"
"Worthy 1300 Sq Ft Residential Apartment Is For Sale At Ahmed Nagar, Mirpur",3,3,1,vacant,1300,dhaka,"৳7,500,000","Ahmed Nagar, Mirpur"
There Is 3 Bedroom Apartment Up For Sale In The Location Of Dhanmondi Near Sunnydale.,3,4,1,vacant,2787,dhaka,"৳29,000,000","Road No 12A, Dhanmondi"
5040 Sq. Ft Apartment Which Is Up For Sale At Bashundhara R-a Near To Ebenzer International School.,4,4,9,vacant,5040,dhaka,"৳54,000,000","Block C, Bashundhara R-A"
"An Apartment Is Ready For Sale At Uttara -9, Near Uttara Ideal College",3,2,5,vacant,986,dhaka,"৳6,200,000","Sector 9, Uttara"
Visit This Apartment For Sale In Dakshin Khan Near Nogoriabari Mohammadia Jame Masjid,2,2,5,vacant,920,dhaka,"৳3,300,000","South Chalabon, Dakshin Khan"
Flat For Sale In Agargaon Close To Agargaon Jame Masjid,3,3,1,vacant,1275,dhaka,"৳8,500,000","West Agargaon, Agargaon"
This Flat Of 1350 Sq Ft For Sale Is Ready To Arrange Desirable Dwelling Facilities For You In Mohammadpur,3,3,6,vacant,1350,dhaka,"৳8,800,000","Shekhertek, Mohammadpur"
1000 Square Feet Apartment For Sale Is Ready To Offer You A Suitable Home Experience In Mirpur,2,2,1,vacant,1000,dhaka,"৳3,500,000","East Shewrapara, Mirpur"
Buy This 1770 Sq Ft Flat In Mirpur-12,3,3,9,vacant,1770,dhaka,"৳9,000,000","Section 12, Mirpur"
"Be Satisfied In This 1180 Sq Ft Amazing Flat For Sale In Mirpur, Kallyanpur",3,3,6,vacant,1180,dhaka,"৳5,500,000","Kallyanpur, Mirpur"
Buy This Flat At Rupnagar R/A For The Ideal Urban Lifestyle You Dream About.,4,4,3,vacant,1250,dhaka,"৳6,800,000","Rupnagar R/A, Mirpur"
"This 850 Sq Ft Flat For Sale In Mirpur, East Monipur",2,2,3,vacant,850,dhaka,"৳5,100,000","East Monipur, Mirpur"
This 1220 Sq.ft Flat Which Is In Kallyanpur Near IBN SINA Medical College Hospital For Sale Will Ensure Your Higher Quality Of Living,3,3,8,vacant,1220,dhaka,"৳7,000,000","Kallyanpur, Mirpur"
Get This Well Defined 850 Sq Ft Flat For Sale In Rupnagar R/a,2,2,5,vacant,850,dhaka,"৳5,300,000","Rupnagar R/A, Mirpur"
2000 Sq Ft Flat With 4 Bedrooms For Sale In Uttara-14,4,4,4,vacant,2000,dhaka,"৳19,000,000","Sector 14, Uttara"
"A Nice 600 Square Feet Apartment Is Up For Sale At Block C, Mirpur-11",2,2,3,vacant,600,dhaka,"৳2,300,000","Section 11, Mirpur"
"Plan To Move In This 1350 Sq Ft Flat Which Is For Sale In Block K, Bashundhara R/A",3,3,1,vacant,1350,dhaka,"৳12,000,000","Block K, Bashundhara R-A"
Make Your Permanent Residence In This 680 Square Feet Flat Up For Sale In Gandaria,2,2,4,vacant,680,dhaka,"৳4,000,000","Gandaria, Sutrapur"
Ready To Move |2004 Sq Ft Apartment | Well Maintained In Uttara,3,4,2,vacant,2004,dhaka,"৳17,500,000","Sector 4, Uttara"
Superb 1330 Sq Ft Flat Is Available To Sale In Banani,2,2,1,vacant,1330,dhaka,"৳19,000,000","Road No 18, Banani"
"Get This Well Defined 1913 Sq Ft Flat For Sale In Uttara, Sector 4",3,4,3,vacant,1913,dhaka,"৳19,700,000","Sector 4, Uttara"
Grab This 1420 Square Feet Flat For Sale In Mirpur-6,3,3,4,vacant,1420,dhaka,"৳11,500,000","Section 6, Mirpur"
1274 Sq Ft 3 Bed Apt. Is Available For Sale In Banasree,3,3,6,vacant,1274,dhaka,"৳10,500,000","Block G, Banasree"
"An Office Space Is Up For sale Which Is Located In Kalabagan, Nearby Square Hospital",,,12,vacant,4372,dhaka,"৳65,580,000","Panthapath Main Road, Kalabagan"
6800 Sq Ft Building Is Now For Sale In Dhanmondi,18,10,,vacant,6800,dhaka,"৳79,000,000","Road No 3A, Dhanmondi"
"Take A Look At This 1890 Sq Ft Well Defined Flat Which Is Up For Sale In West Kazipara, Mirpur",3,3,4,vacant,1890,dhaka,"৳20,000,000","West Kazipara, Mirpur"
1500 Sq Ft Ready Flat For Sale In Uttara-13,3,4,5,vacant,1500,dhaka,"৳13,500,000","Sector 13, Uttara"
2142 Sq Ft Properly Constructed Apartment For Sale In Bashundhara R-a,3,3,5,vacant,2142,dhaka,"৳20,500,000","Block K, Bashundhara R-A"
2200 Sq Ft Flat Is Up For Sale In Mirpur DOHS Nearby Mirpur Dohs Central Mosque,3,3,4,vacant,2200,dhaka,"৳21,000,000","Mirpur DOHS, Mirpur"
Well Planned 1500 Sq Ft Flat For Sale In Middle Badda,3,3,2,vacant,1500,dhaka,"৳12,000,000","Middle Badda, Badda"
"1250 Sq Ft Residential Flat For Sale In Mirpur, West Monipur",3,3,6,vacant,1250,dhaka,"৳8,000,000","West Monipur, Mirpur"
"1250 Sq Ft Residential Flat For Sale In West Monipur, Mirpur",3,3,5,vacant,1250,dhaka,"৳8,000,000","West Monipur, Mirpur"
Well Planned 1150 Sq Ft Residential Flat For Sale In Mirpur,3,3,8,vacant,1150,dhaka,"৳8,200,000","West Monipur, Mirpur"
1680 Sq Ft Flat For Sale In Uttar Badda,3,4,2,vacant,1680,dhaka,"৳11,000,000","Uttar Badda, Badda"
1400 Sq Ft Residential Apartment For Sale In Mirpur,3,3,2,vacant,1400,dhaka,"৳8,400,000","Ahmed Nagar, Mirpur"
Covering 1204 Sq Ft Space A Nice Flat Is Ready To Sale In Mirpur,3,3,6,vacant,1204,dhaka,"৳7,500,000","Ahmed Nagar, Mirpur"
1350 Sq Ft Residential Flat For Sale In Mirpur,3,3,5,vacant,1350,dhaka,"৳9,500,000","Pallabi, Mirpur"
"2400 Sq Ft Spacious Flat For Sale In Banasree, Block F",4,4,5,vacant,2400,dhaka,"৳20,800,000","Block F, Banasree"
"At Pallabi, A Suitable Flat Is Up For Sale Which Is 1050 Sq Ft",2,2,4,vacant,1050,dhaka,"৳6,300,000","Pallabi, Mirpur"
Modest 1100 Sq Ft Flat For Sale In Banasree,3,2,3,vacant,1100,dhaka,"৳8,500,000","Block E, Banasree"
"Here Is A Well Defined Flat Of 1700 Sq Ft Waiting For Sale At Section 7, Mirpur",3,3,3,vacant,1700,dhaka,"৳13,600,000","Section 7, Mirpur"
"Well Organized Flat Of 1700 Sq Ft Is Now Vacant For Sale In Section 7, Mirpur",3,3,3,vacant,1700,dhaka,"৳13,600,000","Section 7, Mirpur"
We Are Offering You A 3660 Sq Ft Flat For Sale In Gulshan 2,4,4,1,vacant,3660,dhaka,"৳109,800,000","Gulshan 2, Gulshan"
1200 Sq Ft Apartment Is Ready For Sale In Mohammadpur,3,3,1,vacant,1200,dhaka,"৳6,700,000","Shekhertek, Mohammadpur"
"Start A New Home, In This, 1370 Sq Ft Flat For Sale In Green Road",3,4,4,vacant,1370,dhaka,"৳9,500,000","Green Road, Kalabagan"
Visit This Apartment For Sale In West Nakhalpara Near Nakhalpara Chhapra Mosjid.,3,2,1,vacant,1150,dhaka,"৳6,500,000","West Nakhalpara, Tejgaon"
840 SQ FT flat is now Vacant for sale in Kafrul,2,2,8,vacant,840,dhaka,"৳5,000,000","North Kafrul Rd, Kafrul"
"5 Katha Residential Plot Is Up For Sale In Bashundhara R-a, Block N",,,,vacant,3600,dhaka,"৳42,000,000","Block N, Bashundhara R-A"
"Ensure This 1450 Sq Ft Apartment To Reside In, By Buying It In Ibrahimpur",3,3,6,vacant,1450,dhaka,"৳9,500,000","Monipuri School Road, Ibrahimpur"
3 Katha Plot is now available for sale in Purbachal- Sector 17,,,,vacant,2160,dhaka,"৳29,000,000","Sector 17, Purbachal"
"1050 Sq Ft Apartment With 2 Balconies For Sale In Mirpur, Ahmed Nagar",3,2,1,vacant,1050,dhaka,"৳5,500,000","Ahmed Nagar, Mirpur"
Nice 1050 SQ FT flat is available for sale in Taltola,2,2,3,vacant,1050,dhaka,"৳5,000,000","Taltola, Agargaon"
A Nice Apartment For Sale In Mirpur Near Brac Bank,2,2,5,vacant,650,dhaka,"৳3,200,000","Section 6, Mirpur"
An Easy Accessible 1618 Sq Ft Ready Apartment Suitable For Family Close To Polwel Carnation At Uttara Is Up For Sale.,3,3,3,vacant,1618,dhaka,"৳12,500,000","Sector 9, Uttara"
"5 Katha Plot For Sale In Bashundhara R-a, Block I",,,,vacant,3600,dhaka,"৳34,000,000","Block I, Bashundhara R-A"
2280 Square Feet Flat With Various Features Is Available For Sale In Bashundhara R/a,4,4,2,vacant,2280,dhaka,"৳25,000,000","Block D, Bashundhara R-A"
"Picture Yourself, Residing In This Well-constructed And Planned 1450 Sq Ft Apartment In Bashundhara R-a Which Is Now For Sale",3,3,6,vacant,1450,dhaka,"৳12,000,000","Block E, Bashundhara R-A"
"Buy This Great 1290 Sq Ft Residential Flat In Mirpur-1, North Bishil",3,3,2,vacant,1290,dhaka,"৳6,500,000","Section 1, Mirpur"
"1300 Sq Ft Apartment With 3 Bedrooms For Sale In Hazaribag, Jigatola",3,3,1,vacant,1300,dhaka,"৳6,000,000","Jigatola, Hazaribag"
Buy This 772 Sq Ft Apartment In Mirpur-10,2,2,8,vacant,772,dhaka,"৳4,300,000","Section 10, Mirpur"
"3 Katha Great Plot Is Ready For Sale In Purbachal, Sector 24",,,,vacant,2160,dhaka,"৳24,500,000","Sector 24, Purbachal"
Offering You 1495 Sq Ft Flat For Sale In Ranavola,3,3,7,vacant,1495,dhaka,"৳7,000,000","Ranavola, Turag"
"650 Sq. Ft. Flat Is Now Up For Sale Located In Mirpur, Block C",2,2,1,vacant,650,dhaka,"৳3,500,000","Section 12, Mirpur"
Plan To Move In This 650 Sq Ft Flat Which Is Up For Sale In Mirpur 12,2,2,4,vacant,650,dhaka,"৳3,200,000","Section 12, Mirpur"
Find 1200 Sq Ft Flat Available For Sale In Paikpara,3,3,6,vacant,1200,dhaka,"৳5,500,000","Ahmed Nagar, Mirpur"
"Choose Your Destination, 1200 Sq Ft Flat Which Is Available For Sale In Ahmed Nagar",3,3,5,vacant,1200,dhaka,"৳5,500,000","Ahmed Nagar, Mirpur"
Offering You 1200 Sq Ft Flat For Sale In Paikpara,3,3,1,vacant,1200,dhaka,"৳5,500,000","Ahmed Nagar, Mirpur"
"This Comfy Flat Is Vacant Right Now For Sale In East Kazipara, Which Is 1120 Sq Ft",3,2,9,vacant,1120,dhaka,"৳5,500,000","East Kazipara, Mirpur"
800 Sq Ft Flat Is Now For Sale In West Ahmed Nagar,2,2,3,vacant,800,dhaka,"৳4,000,000","Ahmed Nagar, Mirpur"
New with a view – 1000 SQ FT Flat for Sale in West Shewrapara,3,2,1,vacant,1000,dhaka,"৳6,000,000","West Shewrapara, Mirpur"
Deal With This 1030 Sq Ft Apartment For Sale In Mirpur-7,3,2,6,vacant,1030,dhaka,"৳6,000,000","Section 7, Mirpur"
At Mirpur Flat For Sale Close To Prince Bazar,3,3,9,vacant,1250,dhaka,"৳6,700,000","Section 1, Mirpur"
"1105 Square Feet Flat Is Waiting For Sale At Begum Rokeya Sharani, East Kazipara",3,3,7,vacant,1105,dhaka,"৳7,500,000","East Kazipara, Mirpur"
A 2374 Square Feet Residential Apartment For Sale At Bashundhara R-A Close To Sunflower School And College.,3,3,2,vacant,2374,dhaka,"৳26,500,000","Block A, Bashundhara R-A"
"Live Pleasantly In This 970 Sq Ft Apartment For Sale In East Kazipara, Mirpur",2,2,1,vacant,970,dhaka,"৳4,000,000","East Kazipara, Mirpur"
Buy This 1239 Sq Ft Flat With 3 Bedrooms For Sale In Uttara-12,3,3,6,vacant,1239,dhaka,"৳11,000,000","Sector 12, Uttara"
"1040 Sq Ft Apartment With 2 Bedrooms For Sale In Section 15, Mirpur",2,2,5,vacant,1040,dhaka,"৳6,200,000","Section 15, Mirpur"
"View This 1350 Sq Ft Residential Flat For Sale In Mirpur, Middle Monipur",3,3,1,vacant,1350,dhaka,"৳8,500,000","Middle Monipur, Mirpur"
1660 Sq Ft Decent Flat With 3 Bedrooms For Sale In Uttara-12,3,3,1,vacant,1660,dhaka,"৳10,500,000","Sector 12, Uttara"
"Take A Look At This 1497 Sq Ft Apartment For Sale In Agargaon, Taltola",4,4,1,vacant,1497,dhaka,"৳9,500,000","Taltola, Agargaon"
Suitable 1000 Sq Ft Residential Flat For Sale In Mirpur,3,2,4,vacant,1000,dhaka,"৳6,500,000","Section 1, Mirpur"
"At Mirpur, A 700 Sq Ft Residential Property Is On Sale",3,1,5,vacant,700,dhaka,"৳2,000,000","Section 1, Mirpur"
"Make This 925 Sq Ft Flat Your Next Residing Location, Which Is Up To Sale In Uttara Near City Bank",2,2,5,vacant,925,dhaka,"৳5,500,000","Sector 12, Uttara"
"1250 Square Feet Residential Flat For Sale In Dakshin Khan, Faydabad",3,3,4,vacant,1250,dhaka,"৳7,000,000","Faydabad, Dakshin Khan"
"View This 1750 Sq Ft Flat For Sale In South Baridhara Residential Area, D.i.t. Project",3,3,4,vacant,1750,dhaka,"৳11,000,000","South Baridhara Residential Area,D. I. T. Project, Badda"
"Live At Peace In A Nice And Comfortable 1750 Sq Ft Flat, Located At Bashundhara.",3,3,1,vacant,1750,dhaka,"৳16,000,000","Block F, Bashundhara R-A"
Ready Flat For Sale In Badhundhara R/a Nearby Rupayan Shopping Complex,3,3,7,vacant,1600,dhaka,"৳14,500,000","Block F, Bashundhara R-A"
"Well Organized Flat Of 1350 Sq Ft Is Now Vacant For Sale In Sector 11, Uttara",3,3,6,vacant,1350,dhaka,"৳13,500,000","Sector 11, Uttara"
Lovely Apartment Of 852 Sq Ft Is Up For Sale In Middle Monipur,2,2,8,vacant,852,dhaka,"৳4,800,000","Middle Monipur, Mirpur"
"1850 Square Feet Flat With Cozy Rooms Is Available For Sale In Bashundhara R-a, Block F",3,3,5,vacant,1850,dhaka,"৳15,725,000","Block F, Bashundhara R-A"
Ready To Move In! Check This 1675 Sq. Ft Apartment For Sale In Dakshin Khan,4,4,8,vacant,1675,dhaka,"৳11,500,000","Madhya Ajampur, Dakshin Khan"
Suitable 1250 Sq Ft Residential Flat For Sale In Rupnagar R/A,3,3,2,vacant,1250,dhaka,"৳7,500,000","Rupnagar R/A, Mirpur"
"1250 Sq Ft Flat Is Being Constructed For Sale In Badda, Merul Badda",3,3,3,vacant,1250,dhaka,"৳7,500,000","Merul Badda, Badda"
At Nobodoy Housing Society 700 Square Feet Flat Is For Sale,2,2,5,vacant,700,dhaka,"৳3,000,000","Nobodoy Housing Society, Mohammadpur"
Nearly Finished 1350 Sq Ft Residential Flat For Sale In Mirpur 10,3,3,3,vacant,1350,dhaka,"৳13,500,000","Section 10, Mirpur"
1400 Sq Ft Flat For Sale In Merul Badda,3,3,4,vacant,1400,dhaka,"৳8,500,000","Merul Badda, Badda"
"Perfect For A Family Home, This Apartment Of 970 Sq Ft Is Up For Sale In Merul Badda",2,2,2,vacant,970,dhaka,"৳8,500,000","Merul Badda, Badda"
"Reside Conveniently In This Well Constructed 1760 Sq Ft Flat For Sale In Maghbazar, Near The Millennium University.",4,4,10,vacant,1760,dhaka,"৳14,500,000","Outer Circular Road, Maghbazar"
Suitable 1360 Sq Ft Residential Apartment For Sale In Chandrima Model Town,3,3,9,vacant,1360,dhaka,"৳7,500,000","Chandrima Model Town, Mohammadpur"
"1600 Square Feet Flat For Sale In Aftab Nagar, Block D",3,3,1,vacant,1600,dhaka,"৳12,800,000","Block D, Aftab Nagar"
Grab A 3 Bedroom Flat For Sale At Lalmatia,3,4,4,vacant,2060,dhaka,"৳32,960,000","Block C, Lalmatia"
Three Bed Good Location Flat For Sale At Lalmatia,3,4,2,vacant,2060,dhaka,"৳32,960,000","Block C, Lalmatia"
"1960 Sq Ft Standard Apartment For Sale In Mohammadpur, Babar Road",4,4,6,vacant,1960,dhaka,"৳23,520,000","Babar Road, Mohammadpur"
Checkout This 1500 Sq Ft Flat For Sale In Mirpur-6,3,3,8,vacant,1500,dhaka,"৳11,500,000","Section 6, Mirpur"
Uttara-6 Is Offering You A 2110 Sq Ft Apartment Ready For Sale,4,4,8,vacant,2110,dhaka,"৳28,485,000","Sector 6, Uttara"
"Visit This Apartment For Sale In Mirpur, 2nd Colony",2,2,5,vacant,750,dhaka,"৳2,625,000","2nd Colony, Mirpur"
A 1800 Sq Ft Flat Is Here For Sale At Mohammadpur,4,4,2,vacant,1800,dhaka,"৳14,400,000","Bash Bari Road, Mohammadpur"
"Invest In This 3 Katha Plot Ready For Sale In Demra, Amulia Model Town",,,,vacant,2184,dhaka,"৳6,000,000","Amulia Model Town, Demra"
"1120 Sq Ft Flat Is Up For Sale With Durable Fittings In Ibrahimpur, North Kafrul Road",3,3,8,vacant,1120,dhaka,"৳5,040,000","North Kafrul Road, Ibrahimpur"
"1255 Sq Ft Residential Apartment For Sale In Jhigatola Road, Dhanmondi",3,3,12,vacant,1255,dhaka,"৳19,452,500","Jhigatola Road, Dhanmondi"
Check This 1250 Sq.ft -3 Bedroom Apartment Up For Sale At Cantonment Very Near To Manikdi Islamia Senior Madrasha.,3,3,3,vacant,1250,dhaka,"৳5,000,000","Manikdi, Cantonment"
2450 Square Feet Residential Apartment Up For Sale At Uttara -11.,4,4,9,vacant,2450,dhaka,"৳31,000,000","Sector 11, Uttara"
"Plan To Move In This 1300 Sq Ft Flat Which Is For Sale In Mirbag Notun Rasta, Maghbazar",3,3,7,vacant,1300,dhaka,"৳11,050,000","Mirbag Notun Rasta, Maghbazar"
"Look At This Nice 1200 Sq Ft Flat Is Up For Sale At Section 1, Mirpur",3,3,6,vacant,1200,dhaka,"৳8,700,000","Section 1, Mirpur"
"A 1450 Sq Ft Flat Is Up For Sale In A Well Secured Location Of Block H, Banasree",3,3,9,vacant,1450,dhaka,"৳11,500,000","Block H, Banasree"
1450 Sq Ft Vacant Flat For Family Is Ready For Sale At Uttara Close To North Tower,3,3,5,vacant,1450,dhaka,"৳9,500,000","Sector 10, Uttara"
View This 1680 Sq Ft Ready Flat For Sale In Khilkhet,3,3,6,vacant,1680,dhaka,"৳8,400,000","Dorji Bari Road, Khilkhet"
"A Perfect Flat Of 1000 Sq Ft For Living With Family Is Available For Sale At Janata Housing, Mirpur",3,2,3,vacant,1000,dhaka,"৳6,500,000","Section 1, Mirpur"
1100 Sq Ft Residential Apartment For Sale In Mirpur 10,3,3,2,vacant,1100,dhaka,"৳6,700,000","Section 10, Mirpur"
1400 Sq Ft Residential Flat For Sale In Mirpur-10,3,3,2,vacant,1400,dhaka,"৳9,200,000","Section 10, Mirpur"
"950 Sq Ft Flat For Sale In East Rampura, Tv Road",3,2,,vacant,950,dhaka,"৳7,000,000","East Rampura, Rampura"
Lovely Apartment Of 950 Sq Ft Is Up For Sale In East Rampura,2,2,4,vacant,950,dhaka,"৳6,700,000","East Rampura, Rampura"
1150 Sq Feet Flat For Sale Close To Darussalam Government Primary School,3,3,2,vacant,1150,dhaka,"৳5,750,000","Darussalam, Mirpur"
1350 Sq Ft Flat Is Ready To Sale In Mirpur-10,3,3,1,vacant,1350,dhaka,"৳10,150,000","Section 10, Mirpur"
"2050 Square Feet Flat Is Available For Sale In Bashundhara R-a, Block C",4,4,6,vacant,2050,dhaka,"৳21,525,000","Block C, Bashundhara R-A"
"Picture Yourself, Residing In This Well Constructed And Planned 850 Sq Ft Flat In Mirpur For Sale",2,2,5,vacant,850,dhaka,"৳4,000,000","West Kazipara, Mirpur"
"1120 Sq Ft Flat For Family, Is Ready For Sale At Mirpur",3,3,1,vacant,1120,dhaka,"৳5,600,000","Section 2, Mirpur"
1100 Sq Ft Flat For Sale In Mirpur Section 6,3,3,5,vacant,1100,dhaka,"৳8,000,000","Section 6, Mirpur"
View This Cozy 1100 Square Feet Apartment For Sale In Manikdi,3,2,3,vacant,1100,dhaka,"৳4,950,000","Manikdi, Cantonment"
"Lead Your Life In This 1450 Sq Ft Flat Up For Sale In Badda, Khilbari Tek",3,3,2,vacant,1450,dhaka,"৳10,150,000","Khilbari Tek, Badda"
Banasree Is Offering You A 1940 Sq Ft Apartment Ready For Sale,4,4,9,vacant,1940,dhaka,"৳13,968,000","Block J, Banasree"
Buy This 1350 Sq Ft Apartment Available In Uttar Badda,3,3,3,vacant,1350,dhaka,"৳8,000,000","Uttar Badda, Badda"
"1322 Sq Ft Nicely Planned Apartment Is Available For Sale In Shahjadpur, Badda",3,3,4,vacant,1322,dhaka,"৳9,000,000","Shahjadpur, Badda"
"1635 Sq Ft Apartment Is Ready For Sale In Aftab Nagar, Block G",4,3,1,vacant,1635,dhaka,"৳10,627,500","Block G, Aftab Nagar"
"1850 Sq Ft Apartment Is Ready For Sale In Aftab Nagar, Block E, Sector 1",3,3,2,vacant,1850,dhaka,"৳14,800,000","Block E, Aftab Nagar"
"Pick This 1325 Sq Ft Apartment For Sale In Aftab Nagar, Block F",3,3,1,vacant,1325,dhaka,"৳9,275,000","Block F, Aftab Nagar"
5000 Sq Ft Commercial Space For Sale In Shantinagar,,,4,vacant,5000,dhaka,"৳60,000,000","Shantinagar Road, Shantinagar"
"Buy This 1220 Sq Ft Flat In Taltola, Khilgaon",3,3,5,vacant,1220,dhaka,"৳9,500,000","Taltola, Khilgaon"
Property For Sale In Bashundhara R-A – 2025 Sq Ft Apartment,3,4,1,vacant,2025,dhaka,"৳19,000,000","Block I, Bashundhara R-A"
"To Live A Secure Life You Can Take This 1275 Sq Ft Flat For Sale At Kallyanpur, Mirpur",3,3,8,vacant,1275,dhaka,"৳8,600,000","Kallyanpur, Mirpur"
"1570 Sq Ft Convenient Apartment Is Here Ready For Sale In Shah Ali Bag, Mirpur",4,4,7,vacant,1570,dhaka,"৳12,500,000","Section 1, Mirpur"
We Are Offering A Reasonably Priced Flat For Sale Which Is Featuring 800 Sq Ft Space In Baitul Aman Housing Society,2,2,6,vacant,800,dhaka,"৳5,600,000","Baitul Aman Housing Society, Adabor"
"Get This 950 Sq Ft Flat For Sale In Kazipara, Mirpur",2,2,8,vacant,950,dhaka,"৳6,100,000","East Kazipara, Mirpur"
"Checkout This 1000 Sq Ft Flat Set To Sale In Mirpur, East Kazipara",2,2,8,vacant,1000,dhaka,"৳6,500,000","East Kazipara, Mirpur"
"Deal With This 975 Sq Ft Flat Up For Sale In Kazipara, Mirpur",2,2,6,vacant,975,dhaka,"৳6,300,000","East Kazipara, Mirpur"
"Visit This 1000 Sq Ft Flat, Which Is Up For Sale In Mirpur, East Kazipara",2,2,6,vacant,1000,dhaka,"৳6,500,000","East Kazipara, Mirpur"
"Look At This Nice 980 Sq Ft Flat Is Up For Sale At Section 10, Mirpur",2,2,3,vacant,980,dhaka,"৳5,500,000","Section 10, Mirpur"
"Pursue This 975 Sq Ft Flat Up For Sale In East Kazipara, Mirpur",2,2,3,vacant,975,dhaka,"৳6,337,500","East Kazipara, Mirpur"
"1285 Sq Ft Apartment With 3 Bedrooms For Sale In Banasree, Block D",3,3,2,vacant,1285,dhaka,"৳11,000,000","Block D, Banasree"
"Grab This Great 1610 Sq Ft Flat Up For Sale In Lalmatia, Block B",3,4,4,vacant,1610,dhaka,"৳23,000,000","Block B, Lalmatia"
"5 Katha Plot is now available for sale in Purbachal, Sector 22",,,,vacant,3640,dhaka,"৳24,000,000","Sector 22, Purbachal"
Get Hold Of This 650 Sq Ft Residential Flat For Sale In Mirpur-6,2,2,4,vacant,650,dhaka,"৳2,800,000","Section 6, Mirpur"
"Live Comfortably In This 1550 Sq Ft Residential Flat, Up For Sale In Mirpur, Baitur Rowshan Jame Masjid Road",3,3,1,vacant,1550,dhaka,"৳8,600,000","Middle Monipur, Mirpur"
"930 Sq Ft Flat For Sale In Mirpur, Middle Monipur, Baitur Rowshan Jame Masjid Road",2,2,1,vacant,930,dhaka,"৳5,200,000","Middle Monipur, Mirpur"
Acquire This 930 Sq Ft With 2 Bedrooms Flat Which Is Up For Sale In Middle Monipur Beside To Baitur Rowshan Jame Masjid .,2,2,3,vacant,930,dhaka,"৳5,200,000","Middle Monipur, Mirpur"
2400 Sq Ft Ready Flat For Sale In Uttara-7,4,4,9,vacant,2400,dhaka,"৳26,000,000","Sector 7, Uttara"
"1400 Sq Ft Apartment For Sale In Ak Fazlul Haque Babu Rd, East Kazipara, Mirpur",3,3,4,vacant,1400,dhaka,"৳6,300,000","East Kazipara, Mirpur"
A 5 Katha Residential Plot For Sale At Manda Road,,,,vacant,3600,dhaka,"৳39,000,000","Manda Road, Mugdapara"
"Make this 1310 SQ FT flat your next residing location, which is up for sale in Mirpur",3,3,7,vacant,1310,dhaka,"৳9,200,000","Kallyanpur, Mirpur"
